player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Kendall Lamm,10017,T,MIA,9,0,17,83.1,1,11,316,100.0,100.0,98.1,0,12,0,336,336,77.8,1,6,94,100.0,100.0,96.3,7,0,99,99
Ed Ingram,59819,G,MIN,9,0,18,49.1,3,16,306,100.0,100.0,95.3,1,24,5,332,332,29.9,3,10,155,100.0,100.0,92.6,18,5,165,165
Lucas Patrick,11435,G,NO,10,0,20,60.3,0,10,308,100.0,100.0,98.4,3,10,0,330,330,46.0,0,8,139,100.0,100.0,97.1,8,0,149,149
Cade Mays,81995,C,CAR,9,0,5,74.9,2,8,308,100.0,100.0,98.4,0,10,0,327,327,63.4,1,7,145,100.0,100.0,97.2,8,0,154,154
Ryan Kelly,10652,C,IND,10,0,14,71.9,1,9,303,100.0,100.0,98.0,1,11,1,324,324,62.6,1,7,142,100.0,100.0,96.5,9,1,151,151
Walker Little,52287,T,JAX,11,0,15,73.5,5,6,297,100.0,100.0,97.5,0,13,2,316,316,64.6,4,6,162,100.0,100.0,95.7,12,2,170,170
Evan Neal,99063,T,NYG,9,0,21,49.6,5,10,287,100.0,100.0,96.7,1,17,2,314,314,47.6,1,7,139,100.0,100.0,95.7,10,2,151,151
Austin Jackson,60816,T,MIA,8,2,17,60.1,3,9,293,100.0,100.0,96.9,3,15,3,312,312,68.4,1,4,68,100.0,100.0,94.9,6,1,72,72
Matt Goncalves,99680,T,IND,9,0,14,57.1,4,15,280,100.0,100.0,95.5,1,22,3,305,305,53.3,3,12,127,100.0,100.0,91.7,18,3,139,139
Lloyd Cushenberry III,41924,C,TEN,8,0,31,57.2,1,13,279,100.0,100.0,97.5,0,14,0,299,299,52.6,0,10,128,100.0,100.0,96.1,10,0,140,140
Stone Forsythe,41795,T,SEA,6,1,29,41.3,4,29,269,100.0,100.0,93.1,1,35,2,298,298,33.3,4,21,136,100.0,100.0,89.3,27,2,149,149
Drew Dalman,52270,C,ATL,9,0,2,66.6,1,7,273,100.0,100.0,97.8,1,10,2,295,295,53.2,1,6,148,100.0,100.0,96.3,9,2,164,164
Isaiah Adams,158192,G,ARZ,10,1,1,50.3,2,14,269,100.0,100.0,96.3,2,18,2,294,294,33.5,2,9,99,100.0,100.0,93.4,12,1,110,110
Brock Hoffman,54535,G,DAL,11,1,9,62.1,3,2,266,100.0,100.0,98.7,1,6,1,286,286,42.7,3,2,108,100.0,100.0,96.8,6,1,119,119
Dalton Tucker,81717,G,IND,8,0,14,48.7,4,18,258,100.0,100.0,95.0,0,24,2,279,279,44.4,2,12,113,100.0,100.0,92.9,15,1,122,122
Cornelius Lucas,9025,T,WAS,11,0,32,79.1,0,11,255,100.0,100.0,97.5,1,12,1,273,273,80.9,0,6,91,100.0,100.0,96.7,6,0,98,98
Andrew Thomas,59701,T,NYG,6,1,21,71.8,4,8,244,100.0,100.0,95.9,2,16,4,261,261,64.1,3,6,102,100.0,100.0,93.6,11,2,109,109
Olusegun Oluwatimi,98581,C,SEA,8,0,29,54.8,3,5,250,100.0,100.0,98.4,0,8,0,260,260,60.3,2,2,125,100.0,100.0,98.4,4,0,130,130
Abraham Lucas,60218,T,SEA,7,2,29,65.7,2,12,246,100.0,100.0,95.5,3,18,4,257,257,57.9,1,10,125,100.0,100.0,94.0,13,2,132,132
Landon Young,41761,G,NO,8,0,20,30.0,0,14,236,100.0,100.0,96.2,0,16,2,252,252,30.0,0,8,96,100.0,100.0,94.8,9,1,103,103
Connor McGovern,10778,C,NYJ,6,0,22,69.7,1,7,228,100.0,100.0,98.2,2,8,0,243,243,67.2,1,5,106,100.0,100.0,97.2,6,0,111,111
Fred Johnson,46951,T,PHI,10,1,24,37.3,5,24,228,100.0,100.0,90.1,2,37,8,238,238,29.5,2,23,120,100.0,100.0,82.9,33,8,124,124
Larry Borom,59879,T,CHI,7,0,6,56.2,2,13,219,100.0,100.0,93.4,1,22,7,237,237,49.1,2,11,136,100.0,100.0,90.8,19,6,148,148
Christian Darrisaw,77373,T,MIN,7,1,18,79.9,1,7,209,100.0,100.0,97.1,3,10,2,231,231,70.2,1,6,102,100.0,100.0,94.6,9,2,110,110
Patrick Paul,101019,T,MIA,8,3,17,55.8,1,11,208,100.0,100.0,95.7,3,15,3,229,229,37.3,1,6,54,100.0,100.0,89.8,9,2,60,60
Brady Christensen,51985,C,CAR,9,0,5,56.1,3,11,211,99.1,99.1,96.7,1,14,0,223,225,36.2,3,10,93,100.0,100.0,93.0,13,0,102,102
Shane Lemieux,28149,C,NO,6,0,20,42.1,0,11,207,100.0,100.0,96.9,0,12,1,221,221,22.1,0,9,101,100.0,100.0,94.6,10,1,109,109
Jonah Williams,41651,T,ARZ,6,0,1,73.3,0,7,203,100.0,100.0,98.3,0,7,0,221,221,63.4,0,7,90,100.0,100.0,96.1,7,0,99,99
Sataoa Laumea,100525,G,SEA,6,0,29,19.8,4,17,210,100.0,100.0,94.0,1,23,2,219,219,9.6,3,10,98,100.0,100.0,91.3,15,2,105,105
Blake Fisher,147479,T,HST,9,0,13,48.3,8,6,210,100.0,100.0,94.8,1,18,4,219,219,34.4,6,4,100,100.0,100.0,92.0,13,3,103,103
Warren McClendon Jr.,99081,T,LA,6,0,26,51.5,4,5,208,100.0,100.0,95.4,0,14,5,218,218,43.0,3,3,91,100.0,100.0,92.3,10,4,96,96
Trystan Colon,41117,G,ARZ,8,0,1,65.9,3,9,203,100.0,100.0,97.0,0,12,0,215,215,65.8,1,5,85,100.0,100.0,96.5,6,0,91,91
Justin Skule,38951,T,TB,7,0,30,66.4,2,6,202,99.5,99.5,96.0,1,12,4,212,213,55.7,1,4,73,100.0,100.0,91.1,9,4,82,82
Tanor Bortolini,129915,C,IND,7,0,14,64.6,2,5,198,100.0,100.0,98.2,0,7,0,211,211,56.9,1,2,81,100.0,100.0,98.1,3,0,87,87
Nick Saldiveri,81785,G,NO,8,0,20,38.5,4,10,194,100.0,100.0,96.4,0,14,0,203,203,11.3,3,10,84,100.0,100.0,92.3,13,0,86,86
T.J. Bass,131703,G,DAL,9,1,9,45.0,1,4,188,100.0,100.0,98.1,1,6,1,200,200,33.1,1,3,91,100.0,100.0,96.7,5,1,100,100
Austin Corbett,46290,C,CAR,5,0,5,64.7,1,1,176,100.0,100.0,98.9,1,3,1,187,187,66.4,1,1,67,100.0,100.0,98.5,2,0,76,76
Jonah Jackson,37070,G,LA,4,0,26,59.3,2,7,177,100.0,100.0,97.5,0,9,0,181,181,43.6,2,6,95,100.0,100.0,95.8,8,0,96,96
Mark Glowinski,9567,G,IND,5,1,14,53.3,0,13,166,100.0,100.0,94.3,1,16,3,177,177,40.8,0,8,78,100.0,100.0,91.0,11,3,85,85
Jamaree Salyer,81656,G,LAC,10,0,27,57.6,1,7,164,100.0,100.0,97.0,1,9,1,175,175,48.5,0,4,68,100.0,100.0,95.6,5,1,73,73
Alex Forsyth,60012,C,DEN,6,0,10,58.8,1,5,163,100.0,100.0,96.9,0,8,2,173,173,56.8,0,4,81,100.0,100.0,95.1,6,2,86,86
Jake Curhan,38549,G,CHI,7,0,6,38.4,3,11,158,100.0,100.0,94.9,1,15,1,171,171,26.5,3,9,84,100.0,100.0,91.7,13,1,91,91
Chris Hubbard,8051,T,NYG,4,0,21,25.5,12,13,153,100.0,100.0,89.9,1,28,3,170,170,23.3,9,9,79,100.0,100.0,87.3,19,1,85,85
Jedrick Wills Jr.,58467,T,CLV,5,2,8,63.6,3,5,156,100.0,100.0,95.5,3,11,3,168,168,49.8,2,3,56,100.0,100.0,90.2,8,3,59,59
Will Hernandez,46180,G,ARZ,5,0,1,74.2,0,8,156,100.0,100.0,97.4,0,8,0,163,163,76.2,0,3,51,100.0,100.0,97.1,3,0,52,52
Spencer Anderson,81719,G,PIT,9,0,25,60.6,2,6,144,100.0,100.0,96.5,1,9,1,159,159,70.6,1,3,55,100.0,100.0,96.4,4,0,62,62
James Hudson III,59854,T,CLV,4,0,8,40.2,7,8,149,100.0,100.0,95.0,1,15,0,159,159,49.7,5,3,58,100.0,100.0,93.1,8,0,64,64
Jaylon Moore,43678,T,SF,8,0,28,73.1,2,7,154,99.4,99.4,96.4,0,10,1,158,159,72.6,2,5,72,100.0,100.0,95.1,7,0,73,73
Cody Whitehair,10690,G,LV,9,0,23,61.0,1,8,146,100.0,100.0,96.9,0,9,0,158,158,49.5,1,7,75,100.0,100.0,94.7,8,0,81,81
Erik McCoy,37347,C,NO,7,0,20,79.7,1,2,142,100.0,100.0,98.9,1,3,0,154,154,75.8,0,2,49,100.0,100.0,98.0,2,0,55,55
Mike Jerrell,183057,T,SEA,5,1,29,54.8,2,10,141,100.0,100.0,93.6,3,15,3,153,153,45.4,2,7,63,100.0,100.0,89.7,11,2,71,71
Will Fries,41530,G,IND,5,0,14,74.9,1,3,145,100.0,100.0,97.2,0,6,2,153,153,68.5,1,0,67,100.0,100.0,97.8,2,1,69,69
Kyren Williams,97118,HB,LA,16,0,26,42.9,2,12,140,28.6,29.1,94.3,0,15,1,153,526,38.7,0,7,46,19.1,19.2,90.2,8,1,50,261
Joe Noteboom,46249,T,LA,4,0,26,46.9,2,11,147,100.0,100.0,94.2,2,15,2,152,152,53.3,0,7,66,100.0,100.0,91.7,9,2,67,67
Max Mitchell,81707,T,NYJ,7,0,22,65.1,1,6,144,100.0,100.0,96.2,0,9,2,152,152,61.5,1,5,43,100.0,100.0,90.7,7,1,46,46
Zak Zinter,129605,G,CLV,8,0,8,35.0,1,6,140,98.6,98.7,95.4,0,10,3,149,151,41.4,0,2,45,100.0,100.0,93.3,4,2,51,51
John Ojukwu,58530,T,TEN,8,1,31,68.4,2,7,137,99.3,99.3,96.0,1,10,1,145,146,65.0,2,5,82,100.0,100.0,94.5,8,1,90,90
Cole Van Lanen,41583,T,JAX,6,0,15,65.3,2,6,135,100.0,100.0,96.3,0,9,1,144,144,54.5,2,6,68,100.0,100.0,94.1,8,0,71,71
Michael Deiter,38554,C,WAS,8,0,32,41.1,0,4,134,100.0,100.0,96.3,0,7,3,144,144,32.1,0,3,49,100.0,100.0,92.9,5,2,51,51
Tyler Steen,81921,G,PHI,9,1,24,37.7,0,9,135,100.0,100.0,96.7,5,9,0,142,142,45.9,0,5,69,100.0,100.0,96.4,5,0,74,74
Mike Caliendo,41446,G,KC,6,0,16,45.1,1,6,132,99.2,99.3,97.3,0,7,0,140,141,31.8,1,3,50,100.0,100.0,96.0,4,0,55,55
Dan Skipper,12307,T,DET,14,0,11,57.6,4,7,133,95.0,95.1,95.1,0,12,1,137,144,33.0,1,5,31,96.9,97.1,90.3,6,0,33,34
Andrew Vorhees,60818,G,BLT,5,0,3,63.8,0,4,123,100.0,100.0,98.4,2,4,0,135,135,57.8,0,4,62,100.0,100.0,96.8,4,0,68,68
Kingsley Suamataia,146558,T,KC,7,0,16,30.5,6,5,122,100.0,100.0,93.0,2,14,3,131,131,42.6,3,3,52,100.0,100.0,92.3,7,1,59,59
Chuma Edoga,46232,T,DAL,5,0,9,50.5,3,2,119,100.0,100.0,96.2,1,7,2,129,129,46.1,3,1,52,100.0,100.0,92.3,6,2,57,57
Aaron Stinnie,28653,G,NYG,4,0,21,56.4,2,5,113,100.0,100.0,96.9,0,7,0,127,127,44.2,2,4,46,100.0,100.0,93.5,6,0,53,53
Yosh Nijman,60822,T,CAR,4,0,5,59.5,2,7,120,100.0,100.0,94.6,1,11,2,126,126,48.3,1,7,63,100.0,100.0,90.5,10,2,67,67
Jake Kubas,91363,G,NYG,4,0,21,39.2,1,6,119,100.0,100.0,97.1,0,7,0,125,125,27.3,1,5,60,100.0,100.0,95.0,6,0,62,62
Thayer Munford Jr.,59994,T,LV,6,0,23,46.6,3,2,118,98.3,98.4,93.6,0,10,5,123,125,28.0,2,2,60,98.4,98.5,88.3,9,5,64,65
Trent Scott,24481,T,WAS,9,0,32,51.1,1,6,111,99.1,99.2,96.8,0,7,0,122,123,40.6,1,4,45,100.0,100.0,94.4,5,0,48,48
Joshua Ezeudu,77355,T,NYG,4,0,21,62.0,1,12,110,100.0,100.0,92.3,1,15,2,119,119,49.9,1,12,75,100.0,100.0,88.7,15,2,78,78
Kendrick Green,56642,G,HST,5,0,13,19.4,3,6,113,100.0,100.0,94.2,0,11,2,118,118,12.2,2,5,67,100.0,100.0,91.8,9,2,70,70
Nick Zakelj,59693,G,SF,4,0,28,77.7,1,2,105,100.0,100.0,98.6,0,3,0,115,115,84.6,0,2,54,100.0,100.0,98.1,2,0,56,56
Justin Dedich,83018,G,LA,4,0,26,43.6,2,5,104,100.0,100.0,96.6,1,7,0,115,115,22.5,2,3,37,100.0,100.0,93.2,5,0,46,46
Logan Bruss,60251,G,TEN,3,0,31,7.2,3,5,107,100.0,100.0,94.4,0,10,2,115,115,0.0,3,2,54,100.0,100.0,91.7,7,2,56,56
Christian Haynes,77339,G,SEA,8,0,29,51.9,0,5,102,100.0,100.0,96.6,1,6,1,113,113,47.9,0,3,42,100.0,100.0,94.0,4,1,47,47
Jackson Barton,46978,T,ARZ,3,0,1,58.5,1,5,100,100.0,100.0,97.0,0,6,0,109,109,48.6,0,5,32,100.0,100.0,92.2,5,0,33,33
Asim Richards,99674,T,DAL,6,0,9,69.5,1,4,101,100.0,100.0,96.5,1,6,1,108,108,51.5,1,3,44,100.0,100.0,93.2,5,1,49,49
Bijan Robinson,123126,HB,ATL,17,1,2,51.6,2,6,100,20.6,20.4,95.0,3,9,1,107,525,55.4,1,4,61,21.9,22.4,94.3,6,1,68,303
Michael Dunn,39676,G,CLV,8,0,8,34.7,2,2,97,99.0,99.1,95.9,1,6,2,106,107,22.3,1,2,25,100.0,100.0,90.0,4,1,28,28
David Andrews,9948,C,NE,4,2,19,60.0,0,4,100,100.0,100.0,97.0,2,5,1,105,105,43.1,0,3,51,100.0,100.0,95.1,4,1,54,54
James Daniels,45576,G,PIT,4,0,25,66.5,1,3,93,100.0,100.0,96.8,0,5,1,105,105,55.2,1,2,30,100.0,100.0,91.7,4,1,37,37
Jordan Morgan,98652,G,GB,6,0,12,61.5,3,4,95,100.0,100.0,96.3,1,7,0,104,104,65.7,2,2,41,100.0,100.0,95.1,4,0,46,46
Javonte Williams,77803,HB,DEN,17,0,10,67.5,1,7,98,25.7,25.6,95.9,1,8,0,104,407,56.3,1,5,52,28.1,27.7,94.2,6,0,54,195
Sidy Sow,59675,G,NE,7,0,19,17.2,2,6,95,100.0,100.0,94.7,0,9,1,102,102,0.0,2,4,52,100.0,100.0,92.3,7,1,55,55
Alex Palczewski,59738,T,DEN,6,0,10,67.4,1,1,92,100.0,100.0,97.8,0,3,1,102,102,73.3,0,0,42,100.0,100.0,97.6,1,1,45,45
Leroy Watson,98723,T,TEN,4,1,31,37.8,1,7,93,100.0,100.0,94.6,4,9,1,100,100,25.6,0,6,33,100.0,100.0,90.9,6,0,36,36
Devin Cochran,41198,T,CIN,4,0,7,50.8,2,5,91,100.0,100.0,95.1,0,8,1,100,100,34.7,2,2,33,100.0,100.0,90.9,5,1,38,38
Zach Charbonnet,97630,HB,SEA,17,0,29,74.2,1,5,89,24.0,25.0,95.5,0,7,1,100,400,80.0,1,3,58,29.6,30.5,96.6,4,0,64,210
Drew Sample,47259,TE,CIN,17,0,7,47.9,0,8,87,26.7,27.6,94.3,1,9,1,99,359,28.7,0,5,28,23.1,25.4,87.5,6,1,35,138
Trent Brown,9677,T,CIN,3,0,7,64.2,0,4,92,100.0,100.0,96.7,0,5,1,98,98,41.1,0,4,35,100.0,100.0,91.4,5,1,36,36
Matt Peart,46179,T,DEN,15,0,10,69.8,1,7,94,96.9,97.0,95.7,0,8,0,98,101,66.1,0,6,44,100.0,100.0,93.2,6,0,46,46
Carter Warren,60023,T,NYJ,3,0,22,34.1,1,9,92,100.0,100.0,93.5,1,11,1,97,97,28.1,0,5,31,100.0,100.0,88.7,6,1,31,31
Ryan Van Demark,55113,T,BUF,7,0,4,51.8,1,4,92,100.0,100.0,97.3,0,5,0,96,96,47.3,1,3,40,100.0,100.0,95.0,4,0,44,44
Nate Davis,46808,G,CHI,5,0,6,69.2,0,5,82,100.0,100.0,95.7,1,6,1,93,93,61.6,0,4,42,100.0,100.0,92.9,5,1,51,51
Chandler Zavala,144009,G,CAR,7,0,5,73.9,0,3,87,100.0,100.0,98.3,0,3,0,93,93,51.1,0,3,26,100.0,100.0,94.2,3,0,30,30
Adam Trautman,109795,TE,DEN,17,1,10,62.9,2,5,88,32.2,31.9,96.0,1,7,0,92,288,67.5,0,2,24,25.3,25.0,95.8,2,0,25,100
Foster Moreau,47043,TE,NO,17,0,20,71.9,0,2,83,22.4,22.7,98.8,3,2,0,90,397,56.7,0,0,19,13.8,13.4,100.0,0,0,20,149
J.K. Dobbins,57366,HB,LAC,13,0,27,72.6,1,5,84,28.6,28.7,95.2,0,7,1,90,314,75.9,0,3,40,29.6,30.0,93.7,4,1,42,140
Rachaad White,131633,HB,TB,16,0,30,68.3,0,6,79,21.0,21.4,94.9,0,7,1,86,401,55.2,0,5,42,22.6,22.9,91.7,6,1,46,201
Breece Hall,97636,HB,NYJ,16,0,22,57.7,0,9,81,17.4,17.4,93.2,0,10,1,85,488,62.2,0,3,29,16.8,16.6,91.4,4,1,30,181
Olisaemeka Udoh,28394,G,NO,5,0,20,32.1,2,2,76,100.0,100.0,96.1,1,5,1,82,82,28.5,2,1,41,100.0,100.0,93.9,4,1,44,44
Chris Manhertz,10211,TE,NYG,17,0,21,72.4,1,2,74,56.9,57.1,98.0,1,3,0,80,140,61.7,0,0,8,42.1,42.1,100.0,0,0,8,19
Alec Anderson,81882,C,BUF,16,1,4,77.0,1,0,74,88.1,88.8,99.3,2,1,0,79,89,87.7,0,0,20,100.0,100.0,100.0,0,0,21,21
Chuba Hubbard,57373,HB,CAR,15,0,5,56.9,1,10,74,18.0,18.1,92.6,0,11,0,79,436,35.3,1,8,36,20.5,20.6,87.5,9,0,40,194
Darnell Washington,124044,TE,PIT,17,1,25,67.9,0,3,75,32.6,32.0,95.3,1,5,2,78,244,41.1,0,0,4,7.3,6.7,100.0,0,0,4,60
Cole Kmet,60995,TE,CHI,17,0,6,72.4,0,4,73,12.3,12.0,93.2,3,7,3,78,649,66.6,0,0,20,6.8,6.5,100.0,0,0,21,325
John Bates,42275,TE,WAS,17,0,32,55.6,0,4,73,35.8,35.1,97.3,0,4,0,78,222,72.3,0,0,2,7.1,6.9,100.0,0,0,2,29
Nick Leverett,27699,C,ARZ,2,0,1,19.8,4,5,71,100.0,100.0,92.3,0,10,1,77,77,16.6,3,4,40,100.0,100.0,88.7,8,1,41,41
Dare Ogunbowale,12329,HB,HST,17,0,13,38.7,1,7,67,26.3,28.1,92.5,1,9,1,77,274,32.2,1,7,49,27.8,29.2,89.8,9,1,54,185
Jerome Ford,83601,HB,CLV,14,0,8,45.1,1,8,72,19.2,19.0,91.0,0,11,2,76,400,57.2,0,4,33,18.6,19.3,93.9,4,0,37,192
Rhamondre Stevenson,98689,HB,NE,15,1,19,59.2,0,2,69,20.2,20.3,98.6,2,2,0,76,374,44.9,0,1,33,21.0,21.2,98.5,1,0,36,170
Corey Levin,11972,C,TEN,3,0,31,64.5,2,2,71,100.0,100.0,95.8,0,5,1,76,76,64.0,2,1,48,100.0,100.0,94.8,4,1,52,52
Ryan McCollum,41974,C,PIT,3,0,25,41.5,1,3,71,100.0,100.0,97.2,1,4,0,75,75,64.1,1,1,27,100.0,100.0,96.3,2,0,28,28
Cole Strange,22976,C,NE,2,0,19,79.0,0,1,67,100.0,100.0,99.3,1,1,0,75,75,76.5,0,0,37,100.0,100.0,100.0,0,0,41,41
Tony Pollard,27126,HB,TEN,16,1,31,54.4,1,2,71,19.1,19.2,97.9,1,3,0,75,391,33.9,1,0,25,15.3,16.1,98.0,1,0,28,174
Tyrone Tracy,84226,HB,NYG,17,0,21,35.1,3,3,68,18.2,18.2,95.6,0,6,0,75,413,23.1,3,3,39,21.5,20.6,92.3,6,0,41,199
Danny Pinter,47339,C,IND,2,0,14,60.2,0,3,69,100.0,100.0,97.8,0,3,0,75,75,53.2,0,3,36,100.0,100.0,95.8,3,0,39,39
Storm Norton,12188,T,ATL,6,0,2,50.4,0,3,66,100.0,98.7,97.7,0,3,0,74,75,33.2,0,3,33,100.0,100.0,95.5,3,0,38,38
D'Andre Swift,57212,HB,CHI,17,0,6,28.3,1,4,64,15.4,15.8,96.1,4,5,0,72,457,30.7,1,3,36,20.2,20.7,94.4,4,0,41,198
Charlie Heck,36501,T,SF,4,0,28,47.8,0,7,67,100.0,100.0,93.3,0,8,1,72,72,38.9,0,5,29,100.0,100.0,87.9,6,1,30,30
Isaiah Wynn,46048,G,MIA,3,0,17,32.5,0,4,65,100.0,100.0,95.4,1,5,1,70,70,23.9,0,3,14,100.0,100.0,82.1,4,1,17,17
Mo Alie-Cox,12078,TE,IND,17,0,14,75.0,0,0,64,30.3,30.3,100.0,0,0,0,69,228,73.7,0,0,7,14.3,13.7,100.0,0,0,7,51
D.J. Humphries,9457,T,KC,2,1,16,30.5,3,5,64,100.0,100.0,89.1,1,11,3,69,69,12.8,2,3,23,100.0,100.0,80.4,7,2,27,27
Ryan Bates,28300,G,CHI,3,0,6,48.8,1,1,66,100.0,100.0,97.0,0,3,1,68,68,37.0,1,1,33,100.0,100.0,93.9,3,1,34,34
Josh Jacobs,45953,HB,GB,17,0,12,53.2,4,3,62,19.8,20.4,94.4,0,7,0,68,333,55.1,3,1,30,24.0,25.2,93.3,4,0,35,139
Aaron Jones,11937,HB,MIN,17,0,18,48.7,0,7,66,17.3,16.9,93.2,1,8,1,68,403,52.1,0,2,31,17.6,17.0,93.5,3,1,31,182
Kiran Amegadjie,151121,T,CHI,4,2,6,39.4,0,7,61,100.0,100.0,92.6,3,8,1,67,67,20.2,0,6,30,100.0,100.0,86.7,7,1,33,33
Chase Brown,77787,HB,CIN,16,1,7,62.3,0,2,62,15.5,15.4,96.8,2,3,1,67,436,71.9,0,1,19,13.1,13.0,97.4,1,0,21,162
David Quessenberry,7957,T,MIN,4,0,18,54.8,2,5,60,100.0,100.0,92.5,0,8,1,66,66,42.9,2,4,39,100.0,100.0,89.7,7,1,43,43
Brock Wright,60994,TE,DET,17,0,11,57.3,2,6,63,26.6,26.5,93.7,2,8,0,65,245,68.8,0,0,1,2.6,2.5,100.0,0,0,1,40
Devin Singletary,40485,HB,NYG,15,1,21,71.9,0,3,62,27.4,27.0,96.0,1,4,1,65,241,64.5,0,3,26,26.8,26.7,90.4,4,1,27,101
Kayode Awosika,44909,G,DET,5,1,11,59.4,1,5,63,100.0,100.0,95.2,1,6,0,65,65,34.5,1,3,20,100.0,100.0,90.0,4,0,22,22
Caedan Wallace,98427,T,NE,6,3,19,52.5,1,3,56,100.0,100.0,94.6,6,5,1,64,64,51.9,0,3,25,100.0,100.0,90.0,4,1,29,29
Tip Reiman,129423,TE,ARZ,17,1,1,52.8,1,3,61,35.7,36.0,96.7,1,4,0,64,178,28.0,0,1,2,8.7,8.3,75.0,1,0,2,24
Patrick Ricard,48862,FB,BLT,17,0,3,69.2,0,1,57,45.6,47.4,99.1,1,1,0,64,135,40.8,0,0,5,20.8,20.8,100.0,0,0,5,24
Spencer Burford,81920,G,SF,5,0,28,64.0,1,2,58,100.0,100.0,97.4,0,3,0,63,63,49.0,1,2,22,100.0,100.0,93.2,3,0,24,24
Saquon Barkley,45791,HB,PHI,16,0,24,63.0,1,4,58,16.2,16.7,92.2,0,7,2,63,378,75.2,0,3,34,19.1,19.9,92.6,4,1,37,186
Jaylen Warren,98692,HB,PIT,15,0,25,22.4,0,10,59,21.6,21.3,91.5,0,10,0,63,296,16.2,0,9,23,18.4,18.4,80.4,9,0,25,136
Theo Johnson,129787,TE,NYG,12,0,21,63.4,0,2,57,13.6,13.8,98.2,3,2,0,63,457,56.8,0,0,10,5.1,4.7,100.0,0,0,10,211
Dalton Schultz,47304,TE,HST,17,0,13,47.4,2,5,58,10.2,10.3,94.0,2,7,0,62,603,32.4,2,2,20,7.0,7.3,90.0,4,0,22,303
Jake Hanson,28148,G,NYJ,3,0,22,26.3,1,1,57,100.0,100.0,93.0,0,5,3,62,62,1.6,0,1,20,100.0,100.0,82.5,4,3,22,22
Ameer Abdullah,9487,HB,LV,14,0,23,46.1,1,3,60,19.2,18.5,95.0,1,5,1,62,335,31.6,1,3,35,21.5,21.2,91.4,5,1,36,170
Scott Matlock,82482,FB,LAC,17,0,27,51.4,0,2,57,53.8,54.0,98.2,0,2,0,61,113,77.0,0,0,2,66.7,75.0,100.0,0,0,3,4
Justice Hill,45865,HB,BLT,15,0,3,56.1,0,5,60,20.7,19.5,90.8,0,8,3,61,313,55.0,0,4,42,22.6,21.9,90.5,6,2,43,196
Roschon Johnson,99467,HB,CHI,13,0,6,36.5,0,8,57,29.7,29.3,91.2,0,9,1,60,205,29.2,0,7,42,32.8,31.2,89.3,8,1,43,138
Brian Robinson,57120,HB,WAS,14,0,32,50.6,0,6,55,22.8,22.8,92.7,0,7,1,60,263,41.3,0,4,16,22.5,25.6,87.5,4,0,20,78
Rico Dowdle,40693,HB,DAL,16,0,9,62.1,0,3,53,15.9,16.5,97.2,0,3,0,59,358,65.6,0,2,25,19.2,20.4,96.0,2,0,29,142
George Kittle,11901,TE,SF,15,0,28,62.8,0,3,57,12.0,11.6,97.4,2,3,0,58,500,72.6,0,0,16,7.1,6.8,100.0,0,0,16,236
Travis Etienne Jr.,57185,HB,JAX,15,0,15,19.3,3,8,55,17.9,17.6,86.4,0,13,2,58,329,16.9,3,5,30,18.9,19.0,80.0,10,2,32,168
Nick Harris,46752,C,CLV,5,0,8,63.9,0,2,54,96.4,96.7,98.1,1,2,0,58,60,38.3,0,2,20,100.0,100.0,95.0,2,0,23,23
Cade Otton,61071,TE,TB,14,0,30,61.2,0,1,50,9.8,10.4,97.0,0,2,1,57,547,43.6,0,0,5,2.2,2.0,100.0,0,0,5,244
James Conner,11860,HB,ARZ,16,0,1,76.9,0,3,53,16.5,16.7,97.2,0,3,0,57,341,51.0,0,2,17,16.8,15.6,94.1,2,0,17,109
Zach Thomas,43641,T,HST,6,0,13,57.7,0,2,55,100.0,100.0,94.5,0,4,2,57,57,62.9,0,1,30,100.0,100.0,95.0,2,1,32,32
Blake Hance,46301,G,JAX,4,1,15,67.4,0,1,54,100.0,100.0,99.1,1,1,0,57,57,65.0,0,1,33,100.0,100.0,98.5,1,0,35,35
Andrew Ogletree,138351,TE,IND,17,0,14,72.4,0,1,49,30.4,30.9,99.0,1,1,0,54,175,78.4,0,0,4,8.3,9.4,100.0,0,0,5,53
Derrick Henry,10679,HB,BLT,17,0,3,65.4,0,3,49,21.5,21.1,96.9,0,3,0,52,246,40.1,0,2,15,23.8,23.1,93.3,2,0,15,65
C.J. Ham,11347,FB,MIN,17,0,18,61.3,0,3,48,39.7,39.1,94.8,0,4,1,52,133,78.5,0,2,35,50.7,48.7,97.1,2,0,37,76
Hunter Luepke,91319,FB,DAL,16,0,9,69.3,0,1,46,22.8,23.3,96.7,0,2,1,52,223,57.4,0,1,28,26.4,26.5,94.6,2,1,31,117
