,,,,,,,,,2 QB,Dynasty,Dynasty 2 QB,AAV,,Health Report,
T614,JuJu Smith-Schuster,KC,WR,-,-,169.88,-,245.41,-,-,415.40,,0.01,,
T614,Frankie Luvu,WAS,LB,326.00,-,173.33,-,-,-,-,-,,0.21,,
T614,John Franklin-Myers,DEN,DE,484.00,-,170.46,-,-,-,-,-,,,,
T614,Juwann Winfree,FA,WR,-,-,170.00,-,-,-,-,485.70,,,,
T614,Josh Woods,ATL,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Tommy Sweeney,FA,TE,-,-,-,-,-,-,-,-,,,Out,Undisclosed
T614,Noah Brown,WAS,WR,557.68,-,170.23,-,266.10,335.00,-,412.50,,0.00,,
T614,Parris Campbell,FA,WR,-,-,169.99,-,-,-,-,-,,,Ques,Knee - MCL
T614,Jalyn Holmes,WAS,DE,-,-,170.00,-,-,-,-,-,,,,
T614,Malik Hooker,DAL,S,641.00,-,171.23,-,-,-,-,-,,,,
T614,Sam Hubbard,CIN,DE,-,-,170.00,-,-,-,-,-,,,Reserve-Ret,Undisclosed
T614,Marshon Lattimore,WAS,CB,753.00,-,170.78,-,-,-,-,-,,,,
T614,Jeff Wilson,SF,RB,-,-,169.98,-,241.76,583.80,533.70,636.70,,,,
T614,Tae Davis,FA,LB,-,-,170.00,-,-,-,-,-,,,Ques,Foot
T614,Jahlani Tavai,NE,LB,666.00,-,172.67,-,-,-,-,-,,0.03,,
T614,Jalen Davis,CIN,CB,-,-,169.96,-,-,-,-,-,,,,
T614,DeMarcus Christmas,FA,DT,-,-,-,-,-,-,-,-,,,Ques,Undisclosed
T614,Ryan Izzo,FA,TE,-,-,-,-,-,-,-,-,,,,
T614,Derrick Nnadi,NYJ,DT,-,-,170.00,-,-,-,-,-,,,,
T614,Ray Lawry,FA,RB,-,-,-,-,-,519.80,-,-,,,,
T614,Oshane Ximines,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Korey Robertson,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Ito Smith,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Mike Thomas,FA,WR,-,-,-,-,-,-,687.80,-,,,Ques,Shoulder - Labrum
T614,Ja'Whaun Bentley,FA,LB,-,-,170.00,-,-,-,-,-,,,Ques,Pectoral
T614,Tyre Brady,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Nate Becker,FA,TE,-,-,-,-,-,-,-,-,,,Ques,Undisclosed
T614,Jalan McClendon,FA,QB,-,-,-,-,-,-,-,-,,,,
T614,Jack Heneghan,FA,QB,-,-,-,-,-,-,561.00,631.50,,,,
T614,Taylor Stallworth,FA,DT,-,-,170.00,-,-,-,-,-,,,Ques,Undisclosed
T614,Tony Brooks-James,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Joey Slye,TEN,K,"1,343.00",-,169.91,-,-,678.60,686.70,-,,0.00,,
T614,Greg Stroman,FA,CB,-,-,170.00,-,-,-,-,-,,,Ques,Shin
T614,Tom Kennedy,DET,WR,-,-,169.98,-,-,-,-,-,,0.00,,
T614,Blake Mack,FA,TE,-,-,-,-,-,-,-,-,,,,
T614,Christian Blake,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,A.J. Ouellette,FA,RB,-,-,-,-,-,401.30,621.00,-,,,,
T614,Papi White,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Jeremy McNichols,WAS,RB,-,-,169.98,-,244.16,-,-,-,,,,
T614,Jeremy Reaves,WAS,S,-,-,170.00,-,-,-,-,-,,,,
T614,Corliss Waitman,PIT,P,-,-,170.17,-,-,-,-,-,,,,
T614,Budda Baker,ARI,S,88.00,-,126.37,116.58,-,-,-,-,,2.92,,
T614,Will Dissly,LAC,TE,"1,215.93",-,169.94,-,278.63,298.60,-,317.10,0.82,0.00,,
T614,Greg Gaines,TB,DT,-,-,170.01,-,-,-,-,-,,,,
T614,Jaylen Johnson,FA,DE,-,-,-,-,240.88,-,-,-,,,,
T614,Sidney Jones,FA,CB,-,-,170.00,-,-,-,-,-,,,,
T614,Trace McSorley,FA,QB,-,-,-,-,-,519.40,574.60,-,,,,
T614,Amani Oruwariye,TEN,CB,-,-,169.94,-,-,-,-,-,,,,
T614,Troy Reeder,LAR,LB,-,-,173.70,-,-,-,-,-,3.87,0.06,,
T614,Nick Scott,CAR,S,-,-,170.75,-,-,-,-,-,,,,
T614,Ryan Connelly,FA,LB,-,-,170.00,-,-,-,-,-,,,Ques,Undisclosed
T614,T.J. Edwards,CHI,LB,191.00,-,173.64,101.12,-,-,-,-,,0.72,,
T614,Parris Bennett,FA,LB,-,-,-,-,-,-,-,-,,,,
T614,Zaire Franklin,IND,LB,84.00,-,78.08,74.75,-,-,-,641.80,,9.96,Ques,Ankle
T614,Cole Murphy,FA,K,-,-,-,-,-,-,-,639.10,,,,
T614,Chris Slayton,FA,DT,-,-,-,-,-,-,-,-,,,,
T614,Jordan Ellis,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Chris Peace,FA,LB,-,-,-,-,-,-,-,-,,,,
T614,John Wolford,JAX,QB,-,-,169.99,-,-,-,591.00,-,,,,
T614,Terrell Edmunds,LV,S,-,-,170.00,-,-,-,-,-,,,,
T614,Isaiah Ford,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Austin MacGinnis,FA,K,-,-,-,-,-,433.40,466.00,-,,,,
T614,Khalfani Muhammad,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Kevin King,FA,CB,-,-,169.97,-,-,-,-,-,,,Ques,Undisclosed
T614,John Ross,FA,WR,-,-,169.95,-,-,-,-,-,,,Ques,Undisclosed
T614,Damore'ea Stringfellow,FA,WR,-,-,-,-,-,-,549.60,623.20,,,,
T614,Andrew Billings,CHI,DT,-,-,170.04,-,-,-,-,-,,,,
T614,Ogbonnia Okoronkwo,PHI,DE,-,-,170.00,-,-,-,-,-,,,,
T614,Darius Victor,FA,RB,-,-,-,-,-,-,-,471.80,,,,
T614,Chidobe Awuzie,BAL,CB,-,-,170.00,-,-,-,-,-,,,,
T614,Phillip Lindsay,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Chris Board,NYG,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Nick Mullens,JAX,QB,"1,189.10",-,169.98,-,243.63,-,414.00,-,,0.00,,
T614,Karel Hamilton,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Laquon Treadwell,IND,WR,-,-,169.98,-,-,-,-,-,,,,
T614,Joel Bouagnon,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Shane Wimann,FA,TE,-,-,-,-,-,-,-,-,,,,
T614,Peyton Barber,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Rudy Ford,FA,S,-,-,170.00,-,-,-,-,-,,,,
T614,Carl Lawson,FA,DE,-,-,170.00,-,-,-,-,-,,,,
T614,Jeff Badet,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Sebastian Joseph-Day,TEN,DT,500.00,-,170.29,-,-,-,-,-,,,,
T614,Shaquill Griffin,SEA,CB,-,-,169.95,-,-,-,-,-,,,,
T614,William Stanback,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Keith Kirkwood,BAL,WR,-,-,169.97,-,-,-,-,-,,,,
T614,Calvin Munson,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T614,David Wells,FA,TE,-,-,170.00,-,-,-,-,-,,,,
T614,Zay Jones,ARI,WR,"1,344.00",-,169.97,-,243.36,-,-,-,,0.00,,
T614,Cole Hunt,FA,TE,-,-,-,-,-,-,-,436.80,,,,
T614,Demone Harris,SF,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Elliott Fry,FA,K,-,-,-,-,-,-,-,-,,,,
T614,Oren Burks,CIN,LB,-,-,171.13,-,-,-,-,-,,,,
T614,Zach Cunningham,DET,LB,-,-,170.55,-,-,-,-,-,,,,
T614,Montravius Adams,FA,DT,-,-,170.00,-,-,-,-,-,,,,
T614,Ricky Seals-Jones,FA,TE,-,-,-,-,-,-,661.30,-,,,Ques,Foot
T614,Charles Harris,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Matt Milano,BUF,LB,650.00,-,173.50,-,-,-,-,-,,0.06,,
T614,John Johnson,FA,S,-,-,170.00,-,-,-,-,-,,,,
T614,Yannick Ngakoue,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Cameron Johnston,PIT,P,494.00,-,175.47,-,-,-,-,-,,0.68,,
T614,Myles Jack,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Kenny Clark,GB,DT,671.00,-,170.82,-,-,-,-,-,,,Ques,Back
T614,Marcell Ateman,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Tre Flowers,CHI,CB,-,-,169.97,-,-,-,-,-,,,,
T614,Dalton Keene,FA,DE,-,-,-,-,-,-,-,-,,,,
T614,Ben Gedeon,FA,LB,-,-,-,-,-,-,-,-,,,,
T614,Godwin Igwebuike,FA,RB,-,-,169.99,-,-,-,-,-,,0.00,,
T614,Tyler Lancaster,FA,DE,-,-,170.00,-,-,-,-,-,,,,
T614,Anthony Walker,TB,LB,570.00,-,170.92,-,-,-,-,-,,,NFI-A,Lower Leg
T614,Corey Clement,FA,RB,-,-,169.99,-,-,-,-,-,,,,
T614,Troy Fumagalli,FA,TE,-,-,-,-,-,-,-,-,,,,
T614,Alec James,FA,DE,-,-,-,-,-,-,-,-,,,,
T614,T.J. Watt,PIT,LB,290.00,-,96.85,74.28,-,-,-,-,,6.46,,
T614,George Odum,FA,S,-,-,170.00,-,-,-,-,-,,,Ques,Elbow
T614,Chuck Clark,PIT,S,-,-,170.43,-,-,-,-,-,,,,
T614,Kendall Fuller,FA,CB,-,-,170.00,-,-,-,-,-,,,Ques,Knee
T614,Jerome Lane,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Teo Redding,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Brogan Roback,FA,QB,-,-,-,-,-,510.50,405.50,-,,,,
T614,Robert Davis,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Jordan Chunn,FA,RB,-,-,-,-,-,-,-,537.00,,,,
T614,Austin Allen,FA,QB,-,-,-,-,-,-,-,-,,,,
T614,Joshua Dobbs,NE,QB,-,-,169.90,-,245.72,-,691.50,422.70,,0.00,,
T614,Cameron Sutton,FA,CB,-,-,170.00,-,-,-,-,-,,,,
T614,Kendal Vickers,FA,DT,-,-,170.00,-,-,-,-,-,,,,
T614,Greg Ward,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,James Looney,FA,TE,-,-,-,-,-,-,-,-,,,,
T614,O.J. Howard,FA,TE,-,-,-,-,-,-,-,-,,,,
T614,Za'Darius Smith,FA,DE,-,-,170.00,-,-,-,-,-,,,,
T614,Matt Haack,FA,P,429.00,-,169.72,-,-,-,-,-,,,,
T614,Devontae Booker,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Matt McCrane,FA,K,-,-,-,-,-,-,541.00,617.20,,,,
T614,Corey Davis,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Kevin White,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Bug Howard,FA,TE,-,-,-,-,-,-,-,-,,,,
T614,Chris Jones,KC,DT,275.00,-,170.35,-,-,-,-,-,,0.23,,
T614,Fred Ross,FA,WR,-,-,-,-,-,566.70,695.70,-,,,,
T614,Al-Rasheed Benton,FA,LB,-,-,-,-,-,-,-,-,,,,
T614,Jalen Ramsey,PIT,CB,657.00,-,168.73,-,-,-,-,-,,0.45,,
T614,Kermit Whitfield,FA,WR,-,-,-,-,-,530.80,-,-,,,,
T614,Bobo Wilson,FA,WR,-,-,-,-,-,-,-,462.30,,,,
T614,Marquez Valdes-Scantling,SEA,WR,249.45,-,169.95,-,276.43,303.30,355.10,318.60,0.52,0.00,,
T614,Chris Blewitt,FA,K,-,-,-,-,-,-,-,567.10,,,,
T614,Tyler Boyd,FA,WR,-,-,170.00,-,241.79,-,-,-,,0.00,,
T614,Tim Boyle,FA,QB,-,-,169.99,-,-,533.70,-,-,,,,
T614,Folorunso Fatukasi,HOU,DT,-,-,170.00,-,-,-,-,-,,,,
T614,Tyus Bowser,FA,LB,-,-,170.00,-,-,-,-,-,,,Ques,Knee
T614,Nick Thurman,FA,DT,-,-,170.00,-,-,-,-,-,,,,
T614,Tyler McCloskey,FA,FB,-,-,-,-,-,-,-,582.50,,,,
T614,Bruce Hector,SF,DT,-,-,170.00,-,-,-,-,-,,,,
T614,Deadrin Senat,FA,DT,-,-,170.00,-,-,-,-,-,,,,
T614,DeMarcus Walker,FA,DE,-,-,170.00,-,-,-,-,-,,,,
T614,Jordan Leggett,FA,TE,-,-,-,-,-,-,-,-,,,,
T614,Ben Boulware,FA,LB,-,-,-,-,-,-,-,-,,,,
T614,Wayne Gallman,FA,RB,-,-,-,-,-,378.00,-,-,,,,
T614,T.J. Green,FA,S,-,-,-,-,-,-,-,-,,,,
T614,Jayron Kearse,FA,S,-,-,170.00,-,-,-,-,-,,,,
T614,Mike Williams,LAC,WR,-,-,169.98,-,263.56,351.30,372.40,395.30,1.02,,Reserve-Ex,Undisclosed
T614,Trent Taylor,SF,WR,-,-,169.97,-,-,-,-,-,,0.00,IR,Undisclosed
T614,Xavier Woods,TEN,S,353.00,-,171.26,-,-,-,-,-,1.47,,,
T614,Eric Rogers,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Brandon Silvers,FA,QB,-,-,-,-,-,-,-,-,,,,
T614,Leonard Floyd,ATL,DE,704.00,-,170.55,-,-,-,-,-,,,,
T614,Elijah McGuire,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Tracy Walker,FA,S,-,-,170.00,-,-,-,-,-,,,Reserve-Sus,Suspension
T614,Erik Harris,FA,S,-,-,170.00,-,-,-,-,-,,,,
T614,Austin Hooper,NE,TE,"1,399.70",-,169.89,-,268.81,338.30,-,-,,0.00,,
T614,Francis Owusu,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Steven Mitchell,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Daryl Worley,WAS,S,-,-,170.00,-,-,-,-,-,,,,
T614,Artie Burns,MIA,CB,-,-,170.00,-,-,-,-,-,,,IR,Knee - ACL
T614,Gus Edwards,FA,RB,-,-,169.98,-,244.82,-,-,-,,,,
T614,Corn Elder,FA,CB,-,-,-,-,-,-,-,-,,,,
T614,Brisly Estime,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Marchie Murdock,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Dawuane Smoot,JAX,DE,-,-,170.00,-,-,-,-,-,,,,
T614,Devon Allen,FA,WR,-,-,170.00,-,-,-,-,-,,,,
T614,Johnny Mundt,JAX,TE,-,-,169.98,-,245.24,-,-,-,,,,
T614,Josey Jewell,FA,LB,236.00,-,170.00,-,-,-,-,-,,,Ques,Concussion
T614,Desmond King,FA,CB,-,-,170.00,-,-,-,-,-,,,,
T614,Nic Shimonek,FA,QB,-,-,-,-,-,-,-,-,,,,
T614,Akrum Wadley,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Derrick Willies,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Maurice Hurst,FA,DT,-,-,170.00,-,-,-,-,-,,,Ques,Ankle
T614,Jourdan Lewis,JAX,CB,764.00,-,170.70,-,-,-,-,-,,,,
T614,Johnnie Dixon,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,DeAndre Thompkins,FA,WR,-,-,-,-,-,-,-,-,,,Ques,Undisclosed
T614,Raekwon McMillan,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Curtis Samuel,BUF,WR,"1,353.07",-,169.95,-,257.67,350.30,365.00,341.20,0.72,0.00,Ques,Hamstring
T614,Robert Spillane,NE,LB,173.00,-,139.76,111.48,-,-,-,-,,3.35,,
T614,Jarvion Franklin,FA,RB,-,-,-,-,-,-,-,468.50,,,,
T614,Del'Shawn Phillips,LAC,LB,-,-,170.00,-,-,-,-,-,,,,
T614,James Butler,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Malik Reed,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Craig James,FA,CB,-,-,170.00,-,-,-,-,-,,,Ques,Undisclosed
T614,Devante Downs,FA,LB,-,-,-,-,-,-,-,-,,,,
T614,Marquis Haynes,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Samaje Perine,CIN,RB,540.11,-,170.40,-,274.84,327.80,-,377.00,,0.01,,
T614,Ethan Wolf,FA,TE,-,-,-,-,-,599.10,-,-,,,,
T614,Juwon Young,FA,LB,-,-,-,-,-,-,-,-,,,,
T614,Braxton Berrios,HOU,WR,-,-,169.92,-,-,-,379.00,-,,0.01,,
T614,B.J. Hill,CIN,DT,367.00,-,173.28,-,-,-,-,-,,0.02,Ques,Foot
T614,Germaine Pratt,LV,LB,278.00,-,174.45,-,-,-,-,-,,0.13,,
T614,Marcus Green,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Jason Sanders,MIA,K,199.81,-,148.09,155.43,-,639.50,347.00,-,,0.90,,
T614,Kaden Elliss,ATL,LB,181.00,-,131.60,-,-,-,-,-,,1.88,,
T614,Jake Luton,FA,QB,-,-,-,-,-,629.10,-,-,,,,
T614,Jamal Adams,LV,S,-,-,170.07,-,-,-,-,-,,,,
T614,DJ Chark,FA,WR,-,-,169.98,-,-,-,-,-,,0.00,,
T614,Leonard Fournette,FA,RB,"1,175.83",-,169.96,-,-,-,-,-,,0.00,,
T614,Russell Gage,SF,WR,-,-,-,-,-,-,-,-,,,,
T614,Davon Godchaux,NO,DT,485.00,-,170.84,-,-,-,-,-,,,,
T614,Trey Quinn,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Darrel Williams,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Jalin Moore,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,MyQuon Stout,FA,DT,-,-,-,-,-,-,-,-,,,,
T614,Speedy Noil,FA,WR,-,-,-,-,-,-,381.00,-,,,,
T614,Kyle Allen,DET,QB,-,-,169.96,-,241.09,-,-,595.10,,0.00,,
T614,Josh Reynolds,NYJ,WR,527.26,-,170.53,-,270.49,326.00,673.70,411.30,1.57,0.01,,
T614,L.J. Collier,ARI,DE,-,-,170.04,-,-,-,-,-,,,,
T614,Ty Summers,FA,LB,-,-,170.00,-,-,-,-,-,,,Ques,Undisclosed
T614,Wilton Speight,FA,QB,-,-,-,-,-,547.50,-,529.60,,,,
T614,Step Durham,FA,S,-,-,-,-,-,-,-,-,,,,
T614,Damoun Patterson,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Darius Harris,DAL,LB,-,-,169.94,-,-,-,-,-,,,,
T614,Richie James,FA,WR,-,-,170.00,-,-,-,-,-,,,,
T614,Luke Gifford,SF,LB,-,-,170.88,-,-,-,-,-,,,,
T614,Chris Jones,FA,CB,-,-,170.00,-,-,-,-,-,,,,
T614,Mason Rudolph,PIT,QB,"1,221.40",-,169.91,-,255.43,319.30,-,327.10,0.70,0.00,,
T614,Andrew Trumbetti,FA,LB,-,-,-,-,-,-,-,-,,,,
T614,Nick Bawden,FA,FB,-,-,169.98,-,-,-,-,-,,0.00,,
T614,Austin Fort,FA,TE,-,-,-,-,-,-,-,577.00,,,,
T614,Aaron Davis,FA,CB,-,-,-,-,-,-,-,-,,,,
T614,Jalen Greene,FA,WR,-,-,-,-,-,-,625.00,-,,,,
T614,Nick Fitzgerald,FA,QB,-,-,-,-,-,588.60,-,-,,,,
T614,Taylor Russolino,FA,K,-,-,-,-,-,-,421.50,-,,,,
T614,Isaiah McKenzie,FA,WR,-,-,170.00,-,-,-,-,-,,,,
T614,Sony Michel,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,M.J. Stewart,HOU,S,-,-,170.00,-,-,-,-,-,,,,
T614,Austin Proehl,FA,WR,-,-,-,-,-,-,-,-,,,Ques,Undisclosed
T614,Chris Bazile,FA,TE,-,-,-,-,-,-,-,-,,,,
T614,Tony Brown,CLE,CB,-,-,169.95,-,-,-,-,-,,,,
T614,Jarran Reed,SEA,DT,482.00,-,171.41,-,-,-,-,-,,,,
T614,Alex McGough,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Ahkello Witherspoon,LAR,CB,-,-,169.97,-,-,-,-,-,,,,
T614,Marcus Williams,FA,S,-,-,170.00,-,-,-,-,-,,,,
T614,C.J. Goodwin,DAL,CB,-,-,170.00,-,-,-,-,-,,,,
T614,Nsimba Webster,FA,WR,-,-,170.00,-,-,-,-,589.50,,,,
T614,Deshaun Watson,CLE,QB,-,-,169.85,-,241.37,-,650.60,323.10,1.43,0.00,PUP-P,Achilles
T614,Adam Choice,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Nik Needham,CLE,CB,-,-,170.00,-,-,-,-,-,,,,
T614,Sergio Castillo,FA,K,-,-,-,-,-,-,-,-,,,,
T614,Derek Barnett,HOU,DE,-,-,170.01,-,-,-,-,-,,,,
T614,Taron Johnson,BUF,CB,553.00,-,173.98,-,-,-,-,-,,0.03,,
T614,Keelan Doss,FA,WR,-,-,170.00,-,-,-,-,-,,,Ques,Undisclosed
T614,Reggie White,FA,WR,-,-,-,-,-,-,-,438.00,,,,
T614,Boston Scott,FA,RB,-,-,169.97,-,-,-,-,-,,,,
T614,Victor Bolden,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Jordan Wilkins,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Austin Duke,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Larry Ogunjobi,BUF,DT,-,-,170.03,-,-,-,-,-,,,Reserve-Sus,Suspension
T614,PJ Walker,FA,QB,-,-,169.99,-,-,486.90,-,-,,,,
T614,Johnny Holton,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Dontez Byrd,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Al-Quadin Muhammad,DET,DE,-,-,170.00,-,-,-,-,-,,,,
T614,Keanu Neal,FA,S,-,-,170.00,-,-,-,-,-,,,,
T614,R.J. Shelton,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,DaeSean Hamilton,FA,WR,-,-,-,-,-,-,-,455.00,,,,
T614,Dalyn Dawkins,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Daniel Ekuale,PIT,DT,-,-,170.00,-,-,-,-,-,,,,
T614,Dee Delaney,FA,S,-,-,170.00,-,-,-,-,-,,,,
T614,Neville Hewitt,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Nick Holley,FA,RB,-,-,-,-,-,-,-,524.10,,,,
T614,Will Fuller,FA,WR,-,-,-,-,-,-,-,-,,,Ques,Finger
T614,Isaac Rochell,FA,DE,-,-,170.00,-,-,-,-,-,,,,
T614,Jaylon Smith,LV,LB,-,-,170.26,-,-,-,-,-,,,,
T614,Durham Smythe,CHI,TE,-,-,169.98,-,-,-,-,-,,0.00,,
T614,Peter Pujals,FA,QB,-,-,-,-,-,-,-,535.30,,,,
T614,Siran Neal,SF,CB,-,-,170.03,-,-,-,-,-,,,,
T614,Rashard Davis,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Khalid Abdullah,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Taywan Taylor,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Michael Davis,FA,CB,-,-,170.00,-,-,-,-,-,,,,
T614,Dallin Leavitt,FA,S,-,-,170.00,-,-,-,-,-,,,Ques,Undisclosed
T614,Jordan Howard,FA,RB,-,-,-,-,-,595.40,-,-,,,,
T614,Jonathan Allen,MIN,DT,504.00,-,173.58,-,-,-,-,-,,0.02,,
T614,Eddie Jackson,FA,S,-,-,169.97,-,-,-,-,-,,,,
T614,Donald Payne,FA,LB,-,-,-,-,-,-,-,-,,,,
T614,Jamal Agnew,ATL,WR,-,-,169.99,-,241.19,-,-,-,,0.00,Ques,Oblique
T614,Ross Dwelley,FA,TE,-,-,169.99,-,-,650.00,-,-,,,,
T614,Jake Wieneke,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Justice Liggins,FA,WR,-,-,-,-,-,-,485.10,-,,,,
T614,A'Shawn Robinson,CAR,DE,351.00,-,172.76,-,-,-,-,-,,,,
T614,Kyle Lauletta,FA,QB,-,-,-,-,-,-,-,-,,,,
T614,Brandon Barnes,FA,TE,-,-,-,-,-,-,-,-,,,,
T614,Mackensie Alexander,FA,CB,-,-,-,-,-,-,-,-,,,,
T614,Kendrick Bourne,NE,WR,"1,759.60",-,169.94,-,242.19,-,-,429.50,,,Ques,Lower Leg
T614,Samson Ebukam,IND,DE,-,-,170.64,-,-,-,-,-,,,Ques,Back
T614,Brady Sheldon,FA,LB,-,-,-,-,-,-,-,-,,,,
T614,Tarik Cohen,FA,RB,-,-,-,-,-,647.10,-,-,,,,
T614,KhaDarel Hodge,ATL,WR,-,-,169.97,-,-,-,-,-,,,,
T614,Anthony Firkser,FA,TE,-,-,169.99,-,-,-,-,-,,,,
T614,Antonio Hamilton,WAS,CB,-,-,170.03,-,-,-,-,-,,,,
T614,Shaquille Leonard,FA,LB,-,-,169.95,-,-,-,-,-,,,,
T614,Foyesade Oluokun,JAX,LB,246.00,-,162.88,84.67,-,-,-,-,,2.57,,
T614,Kyle Lewis,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Chad Williams,FA,WR,-,-,-,-,-,-,-,-,,,Ques,Undisclosed
T614,Nick Sharga,FA,FB,-,-,-,-,-,-,-,525.90,,,,
T614,Lirim Hajrullahu,FA,K,-,-,-,-,-,-,527.30,-,,,,
T614,Taven Bryan,CIN,DT,-,-,170.00,-,-,-,-,-,,,,
T614,Will Grier,DAL,QB,-,-,-,-,-,-,622.20,615.10,,,,
T614,Brandon Powell,FA,WR,-,-,170.00,-,-,-,-,-,,,,
T614,Teez Tabor,FA,S,-,-,170.00,-,-,-,-,-,,,,
T614,Emmanuel Moseley,FA,CB,-,-,170.00,-,-,-,-,-,,,Ques,Illness
T614,Kalen Ballage,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Jakob Johnson,HOU,FB,-,-,169.99,-,-,-,-,-,,,,
T614,Demario Richard,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Keelan Cole,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,E.J. Speed,HOU,LB,188.00,-,171.58,-,-,-,-,-,,0.01,,
T614,Luke McNitt,FA,FB,-,-,-,-,-,-,-,-,,,,
T614,Curtis Bolton,FA,LB,-,-,169.81,-,-,-,-,-,,,,
T614,Johnathan Lloyd,FA,WR,-,-,-,-,-,565.30,-,-,,,,
T614,Daniel Helm,FA,TE,-,-,-,-,-,-,-,-,,,,
T614,Bobby Wagner,WAS,LB,213.00,-,169.82,-,-,-,-,-,4.75,4.76,,
T614,T.Y. Hilton,FA,WR,-,-,-,-,-,-,581.80,-,,,,
T614,Mario Addison,FA,DE,-,-,-,-,-,-,-,-,,,,
T614,Josh Norman,FA,CB,-,-,170.00,-,-,-,-,-,,,,
T614,Mohamed Sanu,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Stephon Gilmore,FA,CB,-,-,170.00,-,-,-,-,-,,,,
T614,Blaine Gabbert,FA,QB,-,-,169.99,-,-,-,413.50,-,,0.00,,
T614,Jaron Brown,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Daniel Sorensen,FA,S,-,-,170.00,-,-,-,-,-,,,,
T614,Sam Martin,CAR,P,380.00,-,178.31,-,-,-,-,-,,0.42,,
T614,Corey Liuget,FA,DT,-,-,-,-,-,-,-,-,,,,
T614,Mike Glennon,FA,QB,-,-,-,-,-,-,526.30,663.10,,,,
T614,Travis Benjamin,FA,WR,-,-,-,-,-,-,-,-,,,,
